u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry,Cost of returning,Edge Betweenness,junction,access,tunnel,width,est_width,service
21414414,21414420,0,"[1271171697, 26435508, 26435511, 24298839]",True,2,A470,North Road,trunk,30 mph,False,528.7819999999999,yes,"LINESTRING (-3.1970733 51.5023378, -3.1973698 51.5026734, -3.1974799 51.5028082, -3.1975503 51.5029013, -3.197639 51.5030235, -3.1976973 51.5031166, -3.1977509 51.5032018, -3.1978144 51.5033159, -3.198263 51.5042086, -3.1984095 51.504499, -3.1984936 51.5046652, -3.1985887 51.5048514, -3.1987051 51.5050857, -3.1994729 51.5066199, -3.199512 51.5067004, -3.1996333 51.5068018)",27.223215212212413,0.01540974729991101,,,,,,
21414420,26488914,0,43211233,True,5,A470,North Road,trunk,30 mph,False,113.543,,"LINESTRING (-3.1996333 51.5068018, -3.1997876 51.5070866, -3.1998383 51.5071703, -3.1999034 51.5072654, -3.1999789 51.5073637, -3.2000375 51.5074322, -3.2001232 51.5075261, -3.2002624 51.5076736, -3.200318 51.5077252)",27.222751635556612,0.04712763347221471,,,,,,
21414894,9454464238,0,24298794,True,3,A470,North Road,primary,30 mph,False,49.779,,"LINESTRING (-3.1940752 51.4992835, -3.1939977 51.4992046, -3.1939227 51.4991298, -3.1937524 51.4989781, -3.1937331 51.498962, -3.1937069 51.4989399, -3.1936744 51.4989121)",27.229909056087926,0.01809313559608083,,,,,,
21414894,1132228926,0,779053872,False,,,Australia Road,residential,20 mph,True,42.911,,"LINESTRING (-3.1940752 51.4992835, -3.1940308 51.4993101, -3.1939737 51.4993463, -3.1938852 51.4994023, -3.1937359 51.4994967, -3.1936392 51.4995578)",1.243664211516706,0.00019786307874950534,,,,,,
21414898,7949159468,0,"[26435404, 931339766, 46051894]",True,"['1', '2']",A470,North Road,primary,30 mph,False,167.568,yes,"LINESTRING (-3.1912246 51.4951543, -3.1913405 51.4952577, -3.1914029 51.4953753, -3.191519 51.4957786, -3.1915605 51.495932, -3.1915931 51.4960109, -3.1916356 51.4960768, -3.191673 51.4961219, -3.1917141 51.496176, -3.1918396 51.4963048, -3.1919944 51.4964478, -3.1920825 51.496538)",21.758741741511948,0.02835245174400269,,,,,,
21414898,1170685707,0,"[987962792, 26435409, 779006413, 101380945]",False,3,A470,North Road,primary,30 mph,False,130.846,,"LINESTRING (-3.1912246 51.4951543, -3.1911542 51.495046, -3.1911091 51.4949809, -3.1910513 51.494905, -3.1908682 51.4946921, -3.1907034 51.4945206, -3.1904887 51.4943027, -3.1903029 51.4941298)",1.9701772601417538,0.016255354500701744,,,,,,
21414900,771212011,0,778983911,False,3,A470,North Road,primary,30 mph,True,37.774,,"LINESTRING (-3.1889414 51.492939, -3.189248 51.49322)",1.9136971367788123,0.026942858411561625,,,,,,
21414900,822651793,0,43211176,False,3,A470,North Road,primary,30 mph,False,42.335,,"LINESTRING (-3.1889414 51.492939, -3.1888483 51.49281, -3.1887876 51.4926927, -3.1887381 51.4925808)",1.2470114789349156,0.013604897700520114,,,,,,
21414900,822651791,0,"[68325020, 236873028]",True,,,Colum Road,tertiary,30 mph,False,64.92399999999999,,"LINESTRING (-3.1889414 51.492939, -3.1887786 51.4928205, -3.1885352 51.4926142, -3.1884966 51.4925895, -3.1883639 51.4924796)",2.4599609500207698,0.003265269426234663,,,,,,
21414906,259508341,0,107330082,True,,A470,North Road,primary,30 mph,False,91.396,,"LINESTRING (-3.1823557 51.4852398, -3.1819073 51.4848906, -3.1815238 51.4846017)",6.596890223210034,0.031410538595595824,,,,,,
21414906,259508752,0,932233172,False,4,A470,North Road,primary,30 mph,True,170.854,,"LINESTRING (-3.1823557 51.4852398, -3.1824013 51.4852823, -3.1834071 51.4861394, -3.183655 51.4863583, -3.1837925 51.4864887)",1.5371707719300525,0.028979951414883517,,,,,,
21414908,6946339258,0,116979076,True,2,A4161,Boulevard de Nantes,primary,30 mph,False,11.183,,"LINESTRING (-3.1800903 51.4837824, -3.180197 51.4837069)",4.731274877017828,0.001010773728826634,,,,,,
21414908,7377424060,0,"[116979128, 742028187, 26435286, 319307695]",True,2,A4161,"['North Road', 'Kingsway']",primary,,False,298.59900000000005,,"LINESTRING (-3.1800903 51.4837824, -3.1800138 51.4837538, -3.1798656 51.4836417, -3.1797631 51.483558, -3.1796966 51.4834961, -3.1796265 51.4834235, -3.179574 51.4833563, -3.1795112 51.4832655, -3.1794798 51.4832123, -3.1794432 51.483148, -3.1793756 51.4830077, -3.1793141 51.4828551, -3.179297 51.4827966, -3.1792899 51.4827486, -3.1792781 51.4826334, -3.1792773 51.4824394, -3.1792751 51.4822333, -3.1792733 51.4821888, -3.1792672 51.4821476, -3.1792555 51.482103, -3.1792419 51.4820597, -3.1792361 51.4820415, -3.1792206 51.4819921, -3.1791407 51.4818007, -3.1791248 51.4817643, -3.1791105 51.4817289, -3.1791074 51.4817041, -3.1791049 51.4816845, -3.1791132 51.4816596, -3.1791349 51.4816169, -3.1791647 51.4815735, -3.1791969 51.4815455, -3.1792334 51.4815204, -3.1792812 51.4814949, -3.1793355 51.4814758, -3.1794202 51.4814544, -3.1795341 51.4814329, -3.1795953 51.4814419)",5.939753452799599,0.07832934487624689,,,,,,
26488914,11873097337,0,4349336,True,3,A470,Merthyr Road,trunk,30 mph,False,7.617,,"LINESTRING (-3.200318 51.5077252, -3.2004226 51.5077465)",37.56363070299931,0.03741405603961678,,,,,,
26488914,21414394,0,4349341,True,2,A470,North Road,trunk,30 mph,False,50.939,,"LINESTRING (-3.200318 51.5077252, -3.2003152 51.507784, -3.20037 51.5078341, -3.2004024 51.5078655, -3.200423 51.5079009, -3.2004418 51.5079396, -3.2004507 51.5079715, -3.2004511 51.5079956, -3.200436 51.5080686, -3.2004176 51.5081127, -3.2003887 51.5081568)",27.246792742463292,0.00971357743259792,,,,,,
27258953,289674640,0,4440895,True,,,,trunk_link,40 mph,False,197.162,,"LINESTRING (-3.1925224 51.5056944, -3.1933459 51.5057204, -3.1938077 51.5057233, -3.1939656 51.5057176, -3.1942649 51.5057, -3.1945125 51.5056763, -3.1948999 51.5056238, -3.1951941 51.5055762, -3.1953397 51.5055479)",36.473275001262785,0.0001370122526310151,,,,,,
27258953,263213997,0,"[1314024401, 26435644, 26435469, 116979078]",True,2,A48,"['Eastern Avenue', 'Western Avenue']",trunk,"['40 mph', '30 mph']",False,1045.0359999999998,,"LINESTRING (-3.1925224 51.5056944, -3.1927697 51.5057193, -3.1930136 51.5057397, -3.1933702 51.5057615, -3.1936291 51.5057733, -3.1938821 51.5057779, -3.1940982 51.5057763, -3.1943572 51.5057675, -3.1946241 51.5057517, -3.1950305 51.5057135, -3.195337 51.5056741, -3.1956247 51.5056276, -3.1963862 51.5054587, -3.1966089 51.5053908, -3.1968682 51.5053079, -3.1971823 51.5051958, -3.1976703 51.5050024, -3.1980018 51.5048585, -3.1982938 51.5047267, -3.198642 51.5045689, -3.199118 51.5043483, -3.2000616 51.5039183, -3.2006307 51.5036589, -3.2019459 51.5030501, -3.2025076 51.5027904, -3.2028191 51.5026466, -3.203633 51.5022722, -3.2047941 51.5017507, -3.205022 51.5016453, -3.2052134 51.5015547, -3.2054549 51.5014249)",29.58735871427405,0.004436510777605424,,,,,,
27258956,263220099,0,116979115,True,2,A48,Eastern Avenue,trunk,50 mph,False,532.456,,"LINESTRING (-3.1924982 51.5057806, -3.1920779 51.5057304, -3.1916101 51.5056749, -3.1884656 51.5052679, -3.1877579 51.5051781, -3.1873361 51.5051234, -3.1866302 51.5050309, -3.1849613 51.504821)",29.640670662009256,0.011966976718724535,,,,,,
27258970,263695485,0,24319690,False,,,Keynsham Road,residential,20 mph,False,159.596,,"LINESTRING (-3.2066041 51.5121224, -3.2065745 51.5121568, -3.2065536 51.5121801, -3.2063064 51.5124714, -3.2060343 51.5127976, -3.2058306 51.513048, -3.2055356 51.5133943)",1.2273684783515866,0.00019786307874950534,,,,,,
27258970,263695495,0,"[1258642992, 1258642994, 1258642995]",True,"['2', '3']",A470,Manor Way,trunk,30 mph,False,114.877,,"LINESTRING (-3.2066041 51.5121224, -3.2063294 51.5119829, -3.2061926 51.5119107, -3.2058812 51.5117577, -3.2056896 51.5116584, -3.2054995 51.5115529, -3.2053368 51.5114559)",12.669429850828218,0.0011481383993695322,,,,,,
27258977,263693733,0,375646976,True,2,,North Road,trunk_link,30 mph,False,48.042,,"LINESTRING (-3.198979 51.5053359, -3.1990835 51.5055501, -3.1991859 51.5057483)",30.28026537252286,0.03171788617230369,,,,,,
27262620,27262656,0,"[68325027, 965253126, 965253127]",True,"['1', '2']",,Gabalfa Interchange,trunk,20 mph,False,59.431000000000004,yes,"LINESTRING (-3.1987018 51.5042627, -3.1987573 51.5042828, -3.1988177 51.5043101, -3.1988569 51.5043298, -3.1988917 51.5043556, -3.198919 51.5043857, -3.1989371 51.5044171, -3.1989973 51.5045786, -3.1990168 51.5046307, -3.1990284 51.5046742, -3.1990293 51.5047259)",13.394781059239898,0.0321632249402867,roundabout,,,,,
27262620,263217017,0,"[526313516, 1311382487]",True,2,,,trunk_link,"['20 mph', '30 mph']",False,62.769999999999996,,"LINESTRING (-3.1987018 51.5042627, -3.1988228 51.504268, -3.1989128 51.5042693, -3.1990226 51.5042605, -3.1990952 51.5042428, -3.1991514 51.504223, -3.1992783 51.5041645, -3.1993834 51.5041111, -3.199494 51.5040492)",8.798922341642815,0.04124663998889179,,,,,,
27262623,27262669,0,"[4440892, 375646974]",True,"['1', '2']",,North Road,primary_link,"['20 mph', '30 mph']",False,116.483,,"LINESTRING (-3.1977834 51.5044539, -3.1978036 51.5043971, -3.1978726 51.5043467, -3.1979055 51.5043202, -3.1979264 51.5042949, -3.1979498 51.5042634, -3.1979597 51.5042346, -3.1979668 51.5042037, -3.1979662 51.5041582, -3.1979281 51.5040625, -3.1978678 51.5039888, -3.1978481 51.503952, -3.1976678 51.5035958, -3.1976059 51.503475)",37.53734639335546,0.009359319116063827,,,,,,
27262623,27262644,0,116979068,True,2,,Gabalfa Interchange,trunk,20 mph,False,65.989,,"LINESTRING (-3.1977834 51.5044539, -3.1979185 51.5043833, -3.1979852 51.5043454, -3.1980612 51.5043082, -3.1981476 51.5042743, -3.1982361 51.5042475, -3.1983172 51.5042312, -3.1983979 51.5042244, -3.1984502 51.5042246, -3.1985283 51.5042263, -3.198568 51.5042308, -3.1986176 51.5042405)",13.415443579104293,0.06718585134495597,roundabout,,,,,
27262626,27262633,0,116979139,True,3,,Gabalfa Interchange,trunk,20 mph,False,13.699,,"LINESTRING (-3.1973904 51.5048867, -3.1974434 51.504768)",13.321386341869076,0.07955356638703741,roundabout,,,,,
27262633,33050029,0,4983763,True,1,A469,Whitchurch Road,primary,20 mph,False,38.342000000000006,,"LINESTRING (-3.1974434 51.504768, -3.1973801 51.5046588, -3.1973422 51.5046105, -3.1973093 51.5045829, -3.1972656 51.5045586, -3.197205 51.5045334, -3.1971554 51.5044834)",14.939666314677194,0.0570342184478873,,,,,,
27262633,27262650,0,405045407,True,3,,Gabalfa Interchange,trunk,20 mph,False,33.668,,"LINESTRING (-3.1974434 51.504768, -3.1974723 51.5046973, -3.1975104 51.5046385, -3.1975695 51.5045835, -3.1976837 51.5045128)",13.727816561839505,0.022519347939150114,roundabout,,,,,
27262638,27262626,0,"[116979122, 68325021, 68325022]",True,2,,Gabalfa Interchange,trunk,20 mph,False,55.270999999999994,yes,"LINESTRING (-3.1978023 51.5052647, -3.1977166 51.5052501, -3.1976157 51.5052132, -3.1975752 51.5051865, -3.1975123 51.5051334, -3.1974463 51.5050714, -3.1974165 51.505038, -3.1973886 51.5049744, -3.1973904 51.5048867)",13.388065087065138,0.07235382507744775,roundabout,,,,,
27262638,1263274593,0,1311382483,True,1,,,trunk_link,20 mph,False,26.675,,"LINESTRING (-3.1978023 51.5052647, -3.1977251 51.5052755, -3.1976543 51.5052857, -3.1976082 51.5052902, -3.1975482 51.5052988, -3.197522 51.5053034, -3.1974419 51.5053387)",32.08918213370957,0.004662371501576757,,,,,,
27262640,27258977,0,4349339,True,1,,North Road,trunk_link,20 mph,False,38.871,,"LINESTRING (-3.1989213 51.5050002, -3.1989142 51.505106, -3.1989085 51.5051459, -3.1989088 51.505176, -3.1989112 51.5052213, -3.1989193 51.5052603, -3.1989335 51.5052987, -3.1989477 51.5053236, -3.198979 51.5053359)",30.648123865754737,0.025013840234550565,,,,,,
27262640,27262660,0,404998603,True,2,,Gabalfa Interchange,trunk,20 mph,False,53.226,,"LINESTRING (-3.1989213 51.5050002, -3.1988973 51.5050286, -3.1988683 51.5050568, -3.1988352 51.5050836, -3.1987911 51.5051098, -3.1986976 51.5051547, -3.1986469 51.5051741, -3.1985363 51.5052067, -3.1984448 51.5052284, -3.1982988 51.5052512)",13.368228139844977,0.04910536363615717,roundabout,,,,,
27262644,27262620,0,4440894,True,2,,Gabalfa Interchange,trunk,20 mph,False,6.329,,"LINESTRING (-3.1986176 51.5042405, -3.1987018 51.5042627)",8.775192479770714,0.07340986492917849,roundabout,,,,,
27262650,27262623,0,405045408,True,3,,Gabalfa Interchange,trunk,20 mph,False,9.514,,"LINESTRING (-3.1976837 51.5045128, -3.1977834 51.5044539)",13.32386794436701,0.0765451704610198,roundabout,,,,,
27262656,27262640,0,68325028,True,2,,Gabalfa Interchange,trunk,20 mph,False,31.409,,"LINESTRING (-3.1990293 51.5047259, -3.1989905 51.5048316, -3.1989546 51.5049254, -3.1989213 51.5050002)",13.519943159365196,0.07411920387070774,roundabout,,,,,
27262660,27262638,0,405025910,True,2,,Gabalfa Interchange,trunk,20 mph,False,34.404,,"LINESTRING (-3.1982988 51.5052512, -3.1980319 51.5052618, -3.1978023 51.5052647)",13.520458321856665,0.0770161965790245,roundabout,,,,,
27262669,263220452,0,24298770,False,,,Laytonia Avenue,residential,20 mph,True,143.566,,"LINESTRING (-3.1976059 51.503475, -3.1975533 51.5034849, -3.1975258 51.5034899, -3.1974827 51.5034978, -3.1974479 51.5035046, -3.196961 51.5035998, -3.1969061 51.5035914, -3.1967142 51.5035371, -3.1966068 51.5035067, -3.1959682 51.5033187, -3.1956914 51.5032359)",1.2427747670914968,0.00019786307874950534,,,,,,
27262669,1132228637,0,375646974,True,2,,North Road,primary_link,30 mph,False,110.613,,"LINESTRING (-3.1976059 51.503475, -3.1974962 51.5032769, -3.1974374 51.5031808, -3.1973761 51.5030832, -3.19732 51.5029986, -3.1972779 51.5029354, -3.1972588 51.5029068, -3.1971919 51.5028087, -3.1969958 51.5025566)",37.54414458373981,0.009359319116063827,,,,,,
27262670,6666261483,0,24298794,True,3,A470,North Road,primary,30 mph,False,269.286,,"LINESTRING (-3.1969127 51.5023915, -3.196664 51.5021315, -3.1963251 51.5017663, -3.1961311 51.5015597, -3.19557 51.500964, -3.1954797 51.5008701, -3.1954021 51.500791, -3.1953228 51.5007079, -3.19513 51.5005104, -3.1949305 51.5003078)",27.15811550163223,0.01809313559608083,,,,,,
28019456,1203030852,0,"[234812480, 52673930, 261925008, 319142483, 234812478]",True,2,A4161,Cowbridge Road East,primary,20 mph,False,187.45200000000003,yes,"LINESTRING (-3.1846892 51.4810062, -3.1848173 51.4809816, -3.1849211 51.4809842, -3.1849596 51.4809851, -3.1849757 51.4809855, -3.1850553 51.4809874, -3.1852198 51.4809913, -3.1862477 51.4810168, -3.1863016 51.4810184, -3.1863695 51.4810205, -3.1864179 51.4810236, -3.1865317 51.4810327, -3.1866055 51.4810415, -3.1867799 51.4810724, -3.1869047 51.4811012, -3.1870108 51.4811313, -3.1870871 51.4811569, -3.1873191 51.4812343)",3.103896583371509,0.07828588000044796,,,,,,
28019456,11810577834,0,52782961,False,4,A4161,Castle Street,primary,20 mph,True,57.57599999999999,,"LINESTRING (-3.1846892 51.4810062, -3.1843053 51.4809978, -3.1838999 51.4809925, -3.1838697 51.4809928, -3.1838581 51.4809928)",1.6847204468681407,0.07353559980862924,,,,,,
30941072,260313849,0,"[1322484401, 404597262]",False,2,A4160,Penarth Road,primary,20 mph,False,36.194,,"LINESTRING (-3.1862236 51.4701126, -3.1864567 51.4699769, -3.1864961 51.4699531, -3.1865365 51.4699299, -3.1866036 51.4698892)",1.922524842541547,0.0606855029602713,,,,,,
30941072,248380285,0,"[4816796, 1322484404]",False,"['2', '3']",A4119,Clare Road,primary,20 mph,False,103.143,,"LINESTRING (-3.1862236 51.4701126, -3.1862614 51.4701856, -3.1863137 51.4704176, -3.1863208 51.4704568, -3.1863302 51.4704921, -3.1863891 51.4707694, -3.1863926 51.4707865, -3.1864476 51.4710285)",1.9407907584712059,0.030658752874457542,,,,,,
30941072,31021792,0,"[1322484416, 146483441]",False,2,A4160,Penarth Road,primary,20 mph,True,221.87,,"LINESTRING (-3.1862236 51.4701126, -3.1859159 51.4702963, -3.1858587 51.4703305, -3.1858227 51.4703517, -3.1845967 51.4710897, -3.1839086 51.4714916)",1.9444515361798094,0.04351448840940561,,,,,,
30941072,260313034,0,"[1322484417, 41772441]",False,2,A4119,Corporation Road,primary,20 mph,True,157.45000000000002,,"LINESTRING (-3.1862236 51.4701126, -3.1859648 51.4699803, -3.1859147 51.4699548, -3.185867 51.46993, -3.1857884 51.4698901, -3.1853438 51.4696628, -3.1848922 51.4694319, -3.1844665 51.4692143)",1.5466034783052436,0.011283011866850875,,,,,,
30941072,260313032,0,"[1322484418, 1322484419, 47697269]",True,1,,Paget Street,residential,20 mph,False,152.978,,"LINESTRING (-3.1862236 51.4701126, -3.1861837 51.4698651, -3.1861756 51.4698258, -3.1861826 51.4697593, -3.1861532 51.4696165, -3.1861339 51.4695217, -3.1860823 51.469273, -3.1859853 51.468746)",2.6432604560108017,0.005765557038408305,,,,,,
30941074,259527831,0,4816798,False,,A4119,Clare Street,primary,20 mph,False,126.00200000000001,,"LINESTRING (-3.1876292 51.476752, -3.1877323 51.4768442, -3.187774 51.4769302, -3.1880676 51.4775363, -3.1882109 51.4778205)",1.5913720744934177,0.049040557897916434,,,,,,
30941074,248380094,0,"[89199915, 1272222227, 89199925, 43722647]",False,2,A4119,Clare Road,primary,20 mph,False,167.34799999999998,,"LINESTRING (-3.1876292 51.476752, -3.1875917 51.4766017, -3.1875373 51.4763836, -3.1875303 51.4763649, -3.1875058 51.4762404, -3.1874961 51.4761932, -3.1873605 51.4755377, -3.1873472 51.4754692, -3.1873064 51.4752607)",1.8616375270757022,0.04290938685470225,,,,,,
30941074,259527826,0,224088823,False,,,Tudor Street,tertiary,20 mph,True,83.134,,"LINESTRING (-3.1876292 51.476752, -3.1884557 51.4768136, -3.1888196 51.4768477)",1.5873646007091788,0.01408633972569826,,,,,,
30941074,31383977,0,1321433504,False,2,,Tudor Street,tertiary,20 mph,False,83.309,,"LINESTRING (-3.1876292 51.476752, -3.1868513 51.4766504, -3.1864519 51.4765982)",1.6858177673893724,0.012911769982937492,,yes,,,,
30943205,9622710137,0,"[1311377072, 846437802, 285560085]",False,2,A4055,Cardiff Road,primary,"['20 mph', '30 mph']",False,561.34,,"LINESTRING (-3.2041109 51.43939, -3.2039444 51.4395377, -3.2038556 51.4397118, -3.2038068 51.4398496, -3.2036236 51.4402269, -3.2034135 51.4404833, -3.203186 51.4407298, -3.2028882 51.4410096, -3.2026941 51.4412014, -3.2026097 51.4412817, -3.2023705 51.4415094, -3.2022573 51.4416172, -3.2017631 51.4420802, -3.2002232 51.4435596, -3.2000323 51.4437182)",1.4034575033801444,0.00019786307874950534,,,,,,
30943215,9622710129,0,4816939,False,3,A4055,Barry Road,primary,30 mph,True,9.655,,"LINESTRING (-3.1983186 51.444893, -3.1984539 51.4448723)",1.5944566216679932,0.007606314107265518,,,,,,
30943215,30943218,0,"[4816939, 629514732, 1311377070]",False,3,A4055,Barry Road,primary,"['40 mph', '30 mph']",False,279.843,,"LINESTRING (-3.1983186 51.444893, -3.1980726 51.4449279, -3.1980435 51.4449326, -3.1979512 51.4449451, -3.1977526 51.444972, -3.1958502 51.4452275, -3.1943981 51.4454897)",1.702198210349919,0.005789208196050241,,,,,,
30943215,260306955,0,"[161926392, 105850873, 1311377675, 105850871]",False,2,,Andrew Road,residential,20 mph,"[False, True]",764.954,,"LINESTRING (-3.1983186 51.444893, -3.1983014 51.4448546, -3.1982877 51.4448334, -3.1982744 51.4448176, -3.1982512 51.4447984, -3.1982247 51.4447842, -3.1981343 51.4447489, -3.1979986 51.4447137, -3.197843 51.4446924, -3.1976237 51.4446829, -3.1961777 51.4448112, -3.195566 51.4448628, -3.1948383 51.4449304, -3.1941753 51.4449832, -3.1941633 51.4449843, -3.1936532 51.4450309, -3.1931764 51.4450874, -3.1926677 51.4451604, -3.1915869 51.4453238, -3.1912122 51.4453752, -3.1910193 51.4453917, -3.1907832 51.4454055, -3.1904942 51.445399, -3.1903143 51.4453796, -3.1902042 51.4453668, -3.1897192 51.4453033, -3.189638 51.4452999, -3.1895749 51.4452929, -3.1890177 51.4452344, -3.1888171 51.4452197, -3.1885542 51.4452022, -3.1882568 51.4451971, -3.1879576 51.4452068, -3.1876802 51.4452364, -3.1875619 51.4452564)",1.7009787934753071,0.000322971437468023,,,yes,,,
30943218,1085345568,0,4998368,True,2,A4055,Barry Road,primary,40 mph,False,343.287,,"LINESTRING (-3.1943981 51.4454897, -3.1936203 51.44576, -3.1928514 51.4460764, -3.1923638 51.4463148, -3.1913487 51.4469442, -3.1908622 51.4472679, -3.1906167 51.4474473)",11.729358169543854,0.007126908274467142,,,,,,
30943218,30943215,0,"[4816939, 629514732, 1311377070]",False,3,A4055,Barry Road,primary,"['40 mph', '30 mph']",True,279.8430000000001,,"LINESTRING (-3.1943981 51.4454897, -3.1958502 51.4452275, -3.1977526 51.444972, -3.1979512 51.4449451, -3.1980435 51.4449326, -3.1980726 51.4449279, -3.1983186 51.444893)",1.7021982103499178,0.007189364559961989,,,,,,
